
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-20 23:46:07.849677
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:34:45.156545
Namespace(e='6', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:36:11.292030
Namespace(e='15', ims='2', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971857
Namespace(e='15', ims='4', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971903
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 13:26:53.178343
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 13:55:04.064379
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 15:39:03.782524
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 16:24:58.504633
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 18:58:54.770835
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_5/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 21:46:06.493928
Namespace(d='detectron2/output/lr2e_5_ims_2_wd_1e_5/', e='15', ims='2', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-24 15:15:34.895324
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_3/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-24 15:17:13.946295
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 21:34:10.981663
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 21:34:11.240460
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 21:34:12.041061
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 21:34:12.041350
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_2/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 21:34:12.041350
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 21:34:12.041386
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 23:02:57.478034
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 23:04:33.634862
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_2/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-26 23:07:18.874751
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 23:08:19.993573
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_2/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 23:08:47.945276
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-26 23:10:56.855161
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_3/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-26 23:12:27.589692
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_5/', e='15', ims='2', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-26 23:14:01.180208
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_5/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-26 23:14:49.680330
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_3/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-27 14:32:28.995898
Namespace(d='detectron2/output/lr2e_5_ims_2_wd_1e_4/', e='15', ims='2', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:34:29.243942
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_3/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-27 14:36:49.431476
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:38:32.595223
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:39:46.994449
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:40:17.895463
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_2/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 14:41:28.199660
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 14:42:48.425875
